"Time","CountryID","Country","FOSSILTPES","GDP","GDPPPP","OILSUPGDP","OILSUPGDPPPP","OILTPES","POP","RENTPES","TPES","TPESGDP","TPESGDPPPP","Price.Oil"
1960,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.17301389
1969,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.63796367
1970,"AFRIC","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.63673849
1971,"AFRIC","Africa",0.38,566.77,1232.72,0.061,0.028,34.52,372.68,0.6185,191.96,0.339,0.156,17.06917156
1972,"AFRIC","Africa",0.39,582.18,1270.93,0.065,0.03,38.1,382.3,0.6125,199,0.342,0.157,16.79916882
1973,"AFRIC","Africa",0.4,603.78,1313.85,0.067,0.031,40.71,392.23,0.602,206.9,0.343,0.157,20.03943153
1974,"AFRIC","Africa",0.4,632.73,1373.24,0.067,0.031,42.66,402.56,0.5967,214.14,0.338,0.156,55.38161474
1975,"AFRIC","Africa",0.41,642.92,1401.12,0.071,0.032,45.38,413.32,0.5912,222.26,0.346,0.159,56.50621167
1976,"AFRIC","Africa",0.42,687.1,1509.09,0.071,0.032,48.72,424.54,0.5815,230.96,0.336,0.153,51.64717593
1977,"AFRIC","Africa",0.43,713.26,1578.43,0.074,0.034,53.13,436.21,0.5736,239.85,0.336,0.152,52.25864474
1978,"AFRIC","Africa",0.44,723.85,1607.29,0.079,0.036,57.42,448.33,0.5587,251.39,0.347,0.156,48.69920207
1979,"AFRIC","Africa",0.45,761.03,1694.15,0.077,0.035,58.59,460.9,0.5514,261.01,0.343,0.154,64.81635063
1980,"AFRIC","Africa",0.46,789.38,1757.13,0.077,0.035,61.12,473.9,0.5406,272.98,0.346,0.155,89.6272974
1981,"AFRIC","Africa",0.47,777.88,1728.09,0.084,0.038,65.55,487.32,0.5255,289.01,0.372,0.167,88.97249842
