Time,Price.Oil
1968,18.17301389
1969,16.63796367
1970,16.63673849
1971,17.06917156
1972,16.79916882
1973,20.03943153
1974,55.38161474
1975,56.50621167
1976,51.64717593
1977,52.25864474
1978,48.69920207
1979,64.81635063
1980,89.6272974
1981,88.97249842
1982,75.83470746
1983,64.19523548
1984,60.59025344
1985,54.70411632
1986,27.70261183
1987,34.81415613
1988,26.92359244
1989,31.79711973
1990,36.27455601
1991,29.98983071
1992,28.30022643
1993,24.35254412
1994,22.86046056
1995,24.53171457
1996,28.66596882
1997,25.11747988
1998,16.14305106
1999,22.61031598
2000,35.10868096
2001,27.09057055
2002,28.74943021
2003,32.8623193
2004,41.43476397
2005,54.59759226
2006,63.88739722
2007,70.6634311
2008,93.78727749
2009,60.00312488
2010,75.82563805
2011,99.45770574
2012,96.01863557
2013,91.85653717
2014,82.58092684
2015,42.64477115
2016,35.15585832
2017,40.54147816
