"Run.ID","time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","dS.lag","time.300yr","Are.N.300yr","Ace.N.300yr","Are.S.300yr","Ace.S.300yr","S.300yr","RelPrice_N.300yr","RelLabor_N.300yr","Labor.re_N.300yr","Price.re_N.300yr","Agg.demand.re.tech_N.300yr","Profits.re_N.300yr","Yre_N.300yr","sre_N.300yr","Labor.ce_N.300yr","Price.ce_N.300yr","Agg.demand.ce.tech_N.300yr","Profits.ce_N.300yr","Yce_N.300yr","sce_N.300yr","Y_N.300yr","RelPrice_S.300yr","RelLabor_S.300yr","Labor.re_S.300yr","Price.re_S.300yr","Agg.demand.re.tech_S.300yr","Profits.re_S.300yr","Yre_S.300yr","sre_S.300yr","Labor.ce_S.300yr","Price.ce_S.300yr","Agg.demand.ce.tech_S.300yr","Profits.ce_S.300yr","Yce_S.300yr","sce_S.300yr","Y_S.300yr","Delta.Temp.300yr","Gamma.re.t_N.300yr","Gamma.re.t_S.300yr","Gamma.ce.t_N.300yr","Gamma.ce.t_S.300yr","L_N.300yr","L_S.300yr","Consumption_N.300yr","Consumption_S.300yr","Utility.Consumer_N.300yr","Utility.Consumer_S.300yr","CO2.Concentration.300yr","Cost.S.Damage.300yr","policy.status.300yr","dS.lag.300yr","Y.Total_N","Y.Total_S","Consumption.Total_N","Consumption.Total_S","Utility.Consumer.Total_N","Utility.Consumer.Total_S","Y.Total_N.300","Y.Total_S.300","Consumption.Total_N.300","Consumption.Total_S.300","Utility.Consumer.Total_N.300","Utility.Consumer.Total_S.300","Policy.Start.Time","Policy.Duration","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","epsilon","alfa","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","labor.growth_N","labor.growth_S","lambda.S","sigma.utility","rho","Yre.0_N","Yce.0_N","Yre.0_S","Yce.0_S","size.factor","TimeStep","EndTime","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","Future.ID","policy.name"
1,2112,156.653289357198,311.651611116229,46.7153117302483,125.965392059659,677.508225946485,1.58543705653971,1.34269004081374,0.573140286346782,1.87446276576765,229.33972516206,1.01414026466663,122.34957628947,0.564349995860544,0.426859713653218,1.18230033670258,170.806156440297,0.755304823778991,144.469346018011,0.435650004139456,376.906025296095,1.9437062641166,0.893320046538256,1.88730911748724,2.18586231066052,283.270920304477,1.2526240095864,129.592298162129,0.46267260353557,2.11269088251276,1.12458469214944,317.099030075718,1.40221191099483,281.969897233476,0.53732739646443,568.287414804813,3.81274682162183,0.25,0.25,0.25,0.25,1,4,333.330138789598,125.726781802103,0.000720793677323026,0.000717108542165318,620.707974053515,0.971923635447368,1,-3.0354865506685,2312,290.354400017145,457.061841736134,126.018001642237,212.950107956882,-245.959030468681,1.35525553890485,1.83751712543743,0.647579219510142,1.6842557928451,409.396172451492,1.8103498745805,243.072444334554,0.695325192307446,0.352420780489858,1.24275883366329,222.798561593831,0.985215239367921,179.277391203156,0.304674807692554,595.009485894443,1.42120371818606,1.67092008116044,2.50238873554685,1.73776293221655,719.419465539163,3.18127287661418,413.991720160314,0.782001420202508,1.49761126445315,1.22274020957005,430.552887388566,1.90390486803224,352.121312457665,0.217998579797492,1082.26795159921,7.5,0.25,0.25,0.25,0.25,1,4,526.163479356907,239.258990591346,-100,-100,1544.17523046868,0,1,-5.78575075348149,7100.29105841754,9516.85185280607,6285.96789943449,2107.5100790222,3.28211836079104,3.25372133311028,26364.1428784073,42587.8595984326,23321.3195991404,9420.66802328456,-896.716226913337,-896.744631804418,10.0876357444298,300,0.5,0,0,0,0,0.49999375,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,1,"Nordhaus"
2,2112,156.653289357198,311.651611116229,46.7153117302483,125.965392059659,677.508225946485,1.58543705653971,1.34269004081374,0.573140286346782,1.87446276576765,229.33972516206,1.01414026466663,122.34957628947,0.564349995860544,0.426859713653218,1.18230033670258,170.806156440297,0.755304823778991,144.469346018011,0.435650004139456,376.906025296095,1.9437062641166,0.893320046538256,1.88730911748724,2.18586231066052,283.270920304477,1.2526240095864,129.592298162129,0.46267260353557,2.11269088251276,1.12458469214944,317.099030075718,1.40221191099483,281.969897233476,0.53732739646443,568.287414804813,3.81274682162183,0.25,0.25,0.25,0.25,1,4,333.330138789598,125.726781802103,0.60541226903674,0.602317033731929,620.707974053515,0.971923635447368,1,-3.0354865506685,2312,290.354400017145,457.061841736134,126.018001642237,212.950107956882,-245.959030468681,1.35525553890485,1.83751712543743,0.647579219510142,1.6842557928451,409.396172451492,1.8103498745805,243.072444334554,0.695325192307446,0.352420780489858,1.24275883366329,222.798561593831,0.985215239367921,179.277391203156,0.304674807692554,595.009485894443,1.42120371818606,1.67092008116044,2.50238873554685,1.73776293221655,719.419465539163,3.18127287661418,413.991720160314,0.782001420202508,1.49761126445315,1.22274020957005,430.552887388566,1.90390486803224,352.121312457665,0.217998579797492,1082.26795159921,7.5,0.25,0.25,0.25,0.25,1,4,526.163479356907,239.258990591346,-100,-100,1544.17523046868,0,1,-5.78575075348149,7100.29105841754,9516.85185280607,6285.96789943449,2107.5100790222,16.4955944621285,16.3780696655117,26364.1428784073,42587.8595984326,23321.3195991404,9420.66802328456,-870.593256571815,-870.763755936711,10.0873761330067,300,0.5,0,0,0,0,0.49999375,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,2,"Nordhaus"
3,2112,278.903411718103,280.451876789054,82.8146726972706,124.469422027465,775.541677278782,1.00371642469351,38.714843209869,0.974820497346153,1.08208160850808,305.853060792281,1.35248223482347,282.652489782149,0.788773430435357,0.0251795026538466,1.07807502386792,7.90014979872924,0.0349344624099807,7.32801486336733,0.211226569564643,294.408530114019,1.31389332627305,0.574142398821495,1.45893382771809,1.32595161136672,184.08568227942,0.814026887039595,138.832881005118,0.353477837844161,2.54106617228191,1.00917752214168,320.62722184824,1.41781357501292,317.711418272382,0.646522162155839,489.191980495638,2.95374452934326,0.25,0.25,0.25,0.25,1,4,260.240805480658,108.557186309034,0.000720204752279855,0.000716263500386707,522.674522721218,0.98497246982537,1,-1.83999355249339,2312,665.454644953544,319.512753998513,290.846808768729,169.543275293035,614.013220699608,0.611670765762082,3339.77542476355,0.999700668296172,1.00132469156249,666.571193153047,2.94757781612277,665.689360074519,0.950107064041276,0.000299331703827646,1.63703212187186,0.199585633276597,0.000882567670349111,0.121919191816701,0.049892935958724,666.009662307424,0.696567003582467,173.537963791765,3.97708234980458,1.0042178027252,1164.01109482334,5.14725706130882,1159.12214627594,0.994045266901774,0.0229176501954168,1.44166720151898,6.70752998012632,0.0296606975721186,4.65262022543002,0.00595473309822647,1168.10193329942,4.2994293355483,0.25,0.25,0.25,0.25,1,4,593.398324497594,260.15266876458,3.77310512264154e-10,3.76461950007756e-10,684.202979300392,0.961539011799981,1,0.999999999999993,5464.13918787814,8207.27763618363,4819.12788392337,1821.98567431066,3.27891534767622,3.24690050471548,23406.8148890322,37568.9852459534,20777.8952891228,8343.72456907231,3.28056892169764,3.24854556601627,10.7656991961827,300,0.44623103969526,0,0,0,0,0.209500516021003,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,3,"Nordhaus"
4,2112,280.033381719137,279.320261271845,105.145088414084,101.693741980192,937.934937749362,0.998293090335878,58.0524327304168,0.983065896631809,1.07914110614636,308.434490314193,1.36389731616936,285.814791557354,0.792556220688048,0.0169341033681906,1.08098625202672,5.31303299116675,0.0234942318869394,4.91498664409971,0.207443779311952,294.024992819899,0.977886631965196,15.440408593011,3.75669704451868,1.06865108251072,436.147979838941,1.9286463668478,408.12945120894,0.858603270715467,0.243302955481316,1.0928169458285,28.2471786424332,0.124909023956839,25.8480423004587,0.141396729284533,446.146941445296,1.09447136917363,0.25,0.25,0.25,0.25,1,4,259.857887531945,98.8935771716685,0.604945820819191,0.601135560592147,360.281262250638,0.998308548725059,1,1.00000000000005,2312,669.24342663177,317.703948496314,333.001623951543,109.810401167485,1137.93493774936,0.607035086280954,5107.62338153528,0.999804252549989,1.00123745969286,670.348620852017,2.96428160140762,669.520116694046,0.950907066743324,0.000195747450010588,1.64938976728186,0.131244723969942,0.000580364169395082,0.0795716855854082,0.0490929332566755,669.73840156414,0.475545498370519,10151.4176906808,3.99960600517809,1.00013811670858,1332.14986278439,5.89076669323258,1331.96589603889,0.997241171220422,0.000393994821910424,2.10313864842713,0.131227962770888,0.000580290051372868,0.0623962489914914,0.00275882877957767,1332.15376390302,0,0.25,0.25,0.25,0.25,1,4,596.723144202915,296.767088280163,0.223590354015796,0.223210994930573,289.415,1,1,1,5437.37241205756,7586.62393991958,4792.77166726445,1678.11926191566,16.4784491919486,16.3376242448745,23451.23342788,40898.1014340028,20815.027054331,9094.9939148585,31.6158215307742,31.4191500833747,10.3883252020493,300,0.498698598001278,0,0,0,0,0.288621986948163,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,4,"Nordhaus"
5,2112,156.65327287494,311.651578928817,46.7152980386161,125.965385192864,336.794893824069,1.58543705859492,1.34269003733267,0.573140285712498,1.87446276750597,229.339701095735,1.01414015824534,122.349563336955,0.564349988701192,0.426859714287502,1.18230033626638,170.806138959169,0.755304746477444,144.46933128562,0.435650011298808,376.905986168444,1.94370657480663,0.893319760954406,1.88730879881398,2.18586258693142,283.27084288778,1.25262366724976,129.592246365973,0.462672502255984,2.11269120118602,1.12458465452733,317.099044786762,1.40221197604706,281.969919747873,0.537327497744016,568.287358463803,4.8883246103114,0.25,0.25,0.25,0.25,1,4,333.330104186464,125.726769424011,0.000720729840401883,0.000716939296079642,634.074806175931,0.944896035005055,1,-3.32418726384648,2312,290.354365038013,457.061802870952,126.017957381675,212.950134805704,-759.708501434293,1.35525557108315,1.83751703817985,0.647579208672714,1.68425581873773,409.396125673684,1.81034966772903,243.072412824144,0.695325162423122,0.352420791327286,1.24275882326139,222.798546716721,0.985215173581341,179.277380732674,0.304674837576878,595.00942780932,1.42120417267859,1.67091901246024,2.50238813631586,1.73776330391657,719.419270259591,3.18127201308791,413.991519235193,0.782001153503441,1.49761186368414,1.22274008008388,430.553045895579,1.90390556895025,352.121479379364,0.217998846496559,1082.267917505,7.5,0.25,0.25,0.25,0.25,1,4,526.163427986005,239.258983068926,-100,-100,1730.57820143429,0,1,-7.43125126063982,7100.29034689419,9516.85075689345,6285.96726968129,2107.50983771908,3.28207900991561,3.25359057482539,26364.140225096,42587.8564428512,23321.3172522917,9420.66733024256,-2396.71627156028,-2396.74476820441,10.0873510709391,300,0.5,0,0,0,0,0.49999375,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,5,"Nordhaus"
6,2112,156.65661042853,311.644939204855,46.7186264512727,125.9593289481,336.860314966051,1.58539179674103,1.34276670419562,0.573154254664318,1.87442448478826,229.343185855954,1.01415556785503,122.353921279395,0.564361558454855,0.426845745335682,1.18230994296891,170.798981788382,0.755273097468224,144.462103870569,0.435638441545145,376.902377542677,1.94355118456587,0.893462611549756,1.88746818891444,2.18572441241511,283.28822094189,1.25270051300504,129.608389480754,0.46272596018611,2.11253181108556,1.12460347315388,317.067795876217,1.40207379336463,281.937414782315,0.53727403981389,568.272721621652,4.88769207609435,0.25,0.25,0.25,0.25,1,4,333.326895486209,125.72348784754,0.605358674825892,0.602174859165072,634.009385033949,0.944916884310795,1,-3.32361101919085,2312,290.36598973535,457.043504534283,126.035037308371,212.921566028719,-759.383051439135,1.35518286690987,1.83771420528405,0.647603695207248,1.68419731705227,409.406771663087,1.81039674429417,243.087177207742,0.6953521009314,0.352396304792752,1.24278232715016,222.780435872947,0.98513508743017,179.259417362176,0.3046478990686,595.002530251919,1.42094739275779,1.67152297179264,2.50272670598975,1.73755330651614,719.484338641966,3.18155974547477,414.079001745599,0.782138102644274,1.49727329401025,1.22281325499593,430.436404873545,1.90338978235082,352.005020484486,0.217861897355726,1082.21909317766,7.5,0.25,0.25,0.25,0.25,1,4,526.157343351245,239.248181052204,-100,-100,1730.25275143913,0,1,-7.42900699609504,7100.2355976919,9516.65876217089,6285.91856537839,2107.46674490671,16.4950447549791,16.3764799264922,26363.8701320957,42586.4255002427,23321.077682111,9420.34810929717,-2375.61884692836,-2375.77683249312,10.0705501827978,300,0.5,0,0,0,0,0.49999375,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,6,"Nordhaus"
7,2112,278.998363802516,280.356429302663,92.8957562531454,115.12035682232,506.002017949414,1.00325870964021,40.1035440653109,0.975671197636606,1.08183098975586,306.1183380105,1.35365529068243,282.963180856543,0.789165282298782,0.0243288023633939,1.07831706753269,7.63319913850928,0.033754006590488,7.07880767942854,0.210834717701218,294.359309362429,1.15455516674868,2.21158773962391,2.75451012885346,1.18607607920385,330.107955113679,1.45973737751269,278.319376726039,0.689909646222509,1.24548987114654,1.02730134805418,149.26287987553,0.660040454809595,145.296100465798,0.310090353777491,455.230084250663,2.98538294863103,0.25,0.25,0.25,0.25,1,4,260.191766966902,100.756650080085,0.000720203121315163,0.000715737155476996,464.867682050586,0.984588802756913,1,-0.14832009526323,2312,665.787100191274,319.353207318751,324.436037411553,127.102687710851,682.177552010404,0.611261519861078,3466.21653657734,0.99971158420899,1.00131677788337,666.903621493358,2.94904781424363,666.026612380441,0.950178205216848,0.000288415791010027,1.63811518531534,0.192401027014856,0.000850797341459695,0.117452685097854,0.0498217947831516,666.336349603523,0.533736843277816,2293.46296439395,3.99825667266717,1.00038996408401,1297.93362848289,5.73946250515135,1297.42767828677,0.996785808217242,0.00174332733283256,1.87431311269492,0.565927441878651,0.00250253114798739,0.301938581150376,0.00321419178275839,1298.20214991904,0.064942305362601,0.25,0.25,0.25,0.25,1,4,593.689592751054,289.198887069708,3.77336299452968e-10,3.76665981155988e-10,288.692147989596,0.999994561194214,1,1.00000000000013,5461.43456990204,7929.05737252144,4816.45319878047,1757.23976555682,3.27886718506841,3.24652165458208,23410.1468445509,39908.9945405775,20780.5877235034,8872.74413848149,3.28052078473104,3.24816562929724,10.7630352436267,300,0.450741117690986,0,0,0,0,0.232093418175278,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,7,"Nordhaus"
8,2112,280.013601016085,279.339928609211,102.561768345344,104.798845835063,587.001162176408,0.998387435905865,55.150231654631,0.982190634472342,1.07919171690585,308.159681014956,1.36268210944814,285.546744093331,0.792156496948331,0.0178093655276581,1.08093479354201,5.58764073639352,0.0247085473363322,5.16926716558352,0.207843503051669,294.138026831074,1.01456194787984,9.32616899600173,3.61263465651697,1.08815084889608,420.309690070374,1.8586094494912,386.260499173231,0.840146665978489,0.387365343483028,1.07253268385436,45.0677754446191,0.199289703016105,42.0199553105075,0.159853334021511,444.968434042002,1.81171454493683,0.25,0.25,0.25,0.25,1,4,259.970943492352,98.5722070118548,0.604939122209378,0.601095154476435,383.868537823592,0.995027149317374,1,1.00000000000001,2312,669.113712946457,317.76546457815,331.682559601809,113.318243348945,787.001162176408,0.60719268726826,4845.07508736796,0.999793647440048,1.00124033986618,670.214461345998,2.963688348072,669.384197440124,0.950877901373396,0.000206352559952415,1.64896640038721,0.138329014362105,0.000611690901509227,0.0838883159351352,0.0491220986266038,669.613106925716,0.486963849806743,6898.26554360855,3.99942022814244,1.00017097434961,1326.87646582139,5.86744773186221,1326.64964276156,0.997175504896629,0.000579771857557444,2.05389162819076,0.192349288010634,0.000850568551583024,0.0936511378548592,0.00282449510337091,1326.92028731848,0,0.25,0.25,0.25,0.25,1,4,596.611688055473,295.600623338266,0.223590283899194,0.223208016879905,285.65,1,1,1,5441.31223049362,7665.321648832,4796.73252073586,1696.39124934021,16.478239692781,16.3392697112863,23453.9156511952,40722.6879621329,20817.9878317966,9055.90349566144,31.6155704249719,31.4197504620856,10.2378249564464,300,0.491158918836468,0,0,0,0,0.266546213226882,0,0,10,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"MIROC-ESM-CHEM",6.130331874,285.6500417,970.869657,7.5,0.010039094,0.002779791,589.8958142,8,"Nordhaus"
9,2112,184.797967757578,264.18715868739,48.0236680948536,122.362561138974,683.910905303764,1.21488805491304,1.91219163243302,0.656616003952824,1.57351612192897,292.313757434501,3.82719774357385,162.187004581772,0.962204291141802,0.343383996047176,1.29519433133418,133.461449233554,0.590166528510774,103.043571149725,0.0377957088581985,371.94751004135,1.8713260526402,0.875345159238234,1.86705930889821,2.12175898614568,275.56210131419,1.21853561201135,129.874365143973,0.45672668381059,2.13294069110179,1.13382645592528,314.803935802874,1.39206300412031,277.647372009831,0.54327331618941,563.282265562698,3.76093391314034,0.25,0.25,0.25,0.25,1,4,194.810007499979,124.747851030162,0.000719210553785872,0.000717068001956607,614.305294696236,0.972884765520106,1,-2.57581973555498,2312,497.692288134071,266.650538848815,205.134633470131,157.44166582537,225.993064889213,0.629448466145323,7.12333843107466,0.876897902446777,1.18161134538083,685.620917054669,8.97667920158231,506.579254873898,0.999816863389346,0.123102097553223,1.87721697475394,84.0307954880169,0.371584177648011,44.7634965047295,0.0001831366106535,664.575241962586,0.83753711166027,4.36988635130085,3.25510527815342,1.30440347032972,992.797475596969,4.3901504370898,761.112261795817,0.967248707359237,0.744894721846582,1.55742766758595,227.190685474332,1.0046372111675,145.875593584699,0.0327512926407629,1170.60730891793,6.54427964763052,0.25,0.25,0.25,0.25,1,4,274.038216945015,259.437649544316,3.76343783169834e-10,3.7625209711582e-10,1072.22313511079,0.846609313644139,1,-1.51287832371014,7135.8132010308,9542.82210904422,4283.01985556593,2115.35250939241,3.28016212550395,3.25385664779837,26906.1307826606,42586.2807736038,13251.3550520296,9432.01516787793,3.28181313661505,3.25550338944345,10.8949048180896,298.423917890789,0.41319246277143,1.96082615303683,0,0.126952255971155,0,0.452644756246063,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.015,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,1,"Nordhauds+TechnologyPolicy"
10,2112,174.235993201973,280.201852837894,48.5295161621092,122.256854718423,658.921031629111,1.34510815826639,1.06639191111093,0.516064694880469,1.67610141621406,214.546874985678,2.60063481352171,119.805423881887,0.854203019841342,0.483935305119531,1.24607185371195,188.304167113725,0.832681026976892,151.118225287556,0.145796980158658,382.288221571985,1.85715889304353,0.978141475708876,1.97789993834158,2.10927455633701,292.409208596443,1.29303352041347,138.630226073672,0.49277664864416,2.02210006165842,1.1357534157351,298.943676204435,1.32192893617601,263.211778245852,0.50722335135584,558.97439153434,3.96018761800755,0.25,0.25,0.25,0.25,1,4,254.325939610207,123.644015594881,0.60482267250246,0.602218310238388,639.295168370889,0.969045549560228,1,-2.95725953942536,2312,450.556534111762,294.54663745076,189.820024874363,161.304336533229,83.3315801482758,0.752178993499106,1.76749257895812,0.638662084370802,1.25130861032014,402.10592792975,1.77811241330535,321.348326554608,0.683975854317134,0.361337915629198,1.66357824551721,227.500772968891,1.00600841806844,136.753875918929,0.316024145682866,629.606700898641,0.896672171571087,1.24374863443604,2.21726911000198,1.34313848253634,653.710552811003,2.89070806453025,486.703762352605,0.637959362910559,1.78273088999801,1.49791476207294,525.597001445084,2.32418994039016,350.885787865337,0.362040637089441,1179.30755425609,7.1684861222882,0.25,0.25,0.25,0.25,1,4,561.042531170779,262.7202403994,0.223424506263551,0.222809996403925,1214.88461985172,0.73764772073362,0,-2.20702504106998,7295.24398624906,9460.52819670684,5188.33242823483,2094.9200134101,16.4841400966789,16.377205431823,26869.3560433467,41969.7279471423,17169.9083840499,9286.39255389007,31.605474124406,31.4550794543391,10.4456954049366,288.740962622707,0.244926615493028,1.74118559282328,0,0.0640458377594074,0,0.499799713685036,0,0,3,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,0.001,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,7.5,0.0100539,0.001822767,915.9700854,2,"Nordhauds+TechnologyPolicy"
